order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,422,2,421.38,842.76
2,1,974,3,408.95,1226.85
3,1,368,2,377.12,754.24
4,1,368,3,93.91,281.73
5,1,570,1,228.88,228.88
6,2,713,2,180.24,360.48
7,2,645,1,372.4,372.4
8,2,964,2,200.01,400.02
9,2,385,1,55.12,55.12
10,2,59,1,199.72,199.72
11,3,622,2,20.6,41.2
12,3,796,1,106.48,106.48
13,3,306,3,281.16,843.48
14,3,315,1,461.94,461.94
15,3,457,2,466.36,932.72
16,4,518,2,66.91,133.82
17,4,981,2,389.63,779.26
18,4,347,2,155.07,310.14
19,4,195,3,210.99,632.97
20,5,276,3,290.69,872.07
21,5,823,1,448.64,448.64
22,6,111,3,424.18,1272.54
23,6,226,1,420.98,420.98
24,7,66,1,93.07,93.07
25,7,820,1,238.1,238.1
26,7,79,2,494.81,989.62
27,7,547,1,401.53,401.53
28,8,677,2,289.92,579.84
29,8,885,2,410.03,820.06
30,8,926,2,56.2,112.4
31,8,904,2,16.17,32.34
32,9,610,3,439.82,1319.46
33,9,32,1,188.41,188.41
34,9,751,1,234.1,234.1
35,9,370,2,480.81,961.62
36,9,317,2,467.9,935.8
37,10,703,1,139.03,139.03
38,11,953,3,455.53,1366.59
39,11,75,2,295.57,591.14
40,11,180,2,212.41,424.82
41,12,557,3,431.13,1293.39
42,12,15,2,381.7,763.4
43,13,12,1,344.04,344.04
44,13,939,3,100.33,300.99
45,14,718,3,462.84,1388.52
46,14,174,1,482.02,482.02
47,15,396,3,255.54,766.62
48,15,124,1,345.45,345.45
49,16,670,3,118.48,355.44
50,16,426,3,124.17,372.51
51,16,421,1,397.01,397.01
52,16,631,2,107.93,215.86
53,16,932,3,261.93,785.79
54,17,195,1,315.89,315.89
55,17,598,3,118.96,356.88
56,18,901,1,305.0,305.0
57,18,461,1,340.18,340.18
58,18,100,3,287.78,863.34
59,18,287,1,439.55,439.55
60,19,867,1,95.29,95.29
61,19,98,1,50.25,50.25
62,19,159,3,52.07,156.21
63,19,216,1,67.85,67.85
64,20,752,1,282.02,282.02
65,20,609,3,119.42,358.26
66,20,503,3,246.01,738.03
67,20,562,2,41.81,83.62
68,21,241,1,27.95,27.95
69,21,251,1,258.52,258.52
70,21,430,1,206.43,206.43
71,21,139,1,497.99,497.99
72,22,456,3,325.12,975.36
73,22,115,3,46.69,140.07
74,23,275,2,468.39,936.78
75,24,22,3,325.32,975.96
76,24,747,3,258.75,776.25
77,24,680,2,389.96,779.92
78,24,262,2,69.86,139.72
79,24,721,2,488.77,977.54
80,25,463,1,125.26,125.26
81,25,684,3,394.8,1184.4
82,25,850,1,481.63,481.63
83,26,458,1,73.12,73.12
84,27,869,3,295.38,886.14
85,27,431,2,222.98,445.96
86,28,469,2,27.46,54.92
87,28,972,1,143.25,143.25
88,29,629,1,254.84,254.84
89,30,738,1,372.71,372.71
90,30,287,3,175.99,527.97
91,30,112,2,383.13,766.26
92,30,560,1,266.28,266.28
93,31,298,3,294.31,882.93
94,31,812,3,163.71,491.13
95,31,802,3,177.78,533.34
96,31,163,3,110.95,332.85
97,32,83,2,25.42,50.84
98,32,649,1,318.55,318.55
99,33,725,2,153.97,307.94
100,34,360,3,126.98,380.94
101,34,136,1,175.59,175.59
102,35,118,2,495.3,990.6
103,35,496,2,120.87,241.74
104,35,823,3,313.51,940.53
105,35,96,2,140.44,280.88
106,36,763,1,412.43,412.43
107,36,282,3,74.37,223.11
108,36,778,1,49.35,49.35
109,36,38,1,126.47,126.47
110,36,163,1,133.22,133.22
111,37,110,1,203.15,203.15
112,37,350,1,371.06,371.06
113,37,355,3,438.47,1315.41
114,37,318,3,263.99,791.97
115,37,265,1,246.47,246.47
116,38,164,2,295.29,590.58
117,38,253,1,85.94,85.94
118,38,961,3,155.5,466.5
119,39,436,3,401.34,1204.02
120,39,781,3,328.49,985.47
121,40,748,1,207.19,207.19
122,40,220,3,366.84,1100.52
123,40,323,2,53.5,107.0
124,41,561,3,329.67,989.01
125,41,293,2,133.94,267.88
126,41,749,3,191.69,575.07
127,41,472,1,212.11,212.11
128,41,349,3,207.24,621.72
129,42,246,2,209.53,419.06
130,42,416,2,155.39,310.78
131,42,24,1,309.88,309.88
132,42,504,1,337.81,337.81
133,43,54,3,132.78,398.34
134,43,217,1,295.29,295.29
135,44,72,2,158.82,317.64
136,44,660,1,334.78,334.78
137,45,372,1,366.33,366.33
138,45,111,2,300.87,601.74
139,46,812,3,363.64,1090.92
140,46,197,3,87.09,261.27
141,46,31,2,241.1,482.2
142,46,460,1,205.46,205.46
143,46,468,3,131.17,393.51
144,47,986,2,169.61,339.22
145,47,385,3,483.92,1451.76
146,47,767,2,192.4,384.8
147,48,661,2,257.76,515.52
148,48,606,1,275.45,275.45
149,48,213,3,324.76,974.28
150,48,376,2,270.83,541.66
151,48,179,3,428.23,1284.69
152,49,440,2,349.86,699.72
153,49,406,1,284.77,284.77
154,49,636,2,412.95,825.9
155,49,483,3,45.54,136.62
156,49,926,3,401.26,1203.78
157,50,139,2,279.74,559.48
158,50,464,1,421.0,421.0
159,50,694,2,225.96,451.92
160,51,42,2,242.66,485.32
161,51,378,3,342.68,1028.04
162,51,23,3,104.93,314.79
163,52,469,1,103.36,103.36
164,52,68,1,474.96,474.96
165,52,201,2,130.07,260.14
166,53,147,3,249.79,749.37
167,53,390,2,391.64,783.28
168,53,927,2,285.92,571.84
169,53,931,2,76.96,153.92
170,53,152,3,296.85,890.55
171,54,569,2,470.54,941.08
172,54,626,1,365.47,365.47
173,54,222,2,421.91,843.82
174,54,237,2,410.61,821.22
175,55,9,3,223.2,669.6
176,56,170,1,360.93,360.93
