order_id,customer_id,order_date,order_status,currency
1,1420,2026-01-09,completed,EUR
2,6656,2025-01-16,completed,EUR
3,2918,2025-01-29,completed,EUR
4,4203,2025-04-23,cancelled,EUR
5,1165,2024-10-04,completed,EUR
6,6966,2025-12-10,completed,EUR
7,6399,2025-11-14,cancelled,EUR
8,4597,2024-10-29,completed,EUR
9,1997,2025-07-11,cancelled,EUR
10,6576,2024-07-29,completed,EUR
11,8670,2025-04-09,completed,EUR
12,7065,2025-03-13,refunded,EUR
13,655,2024-05-25,cancelled,EUR
14,8701,2025-12-22,completed,EUR
15,1049,2025-11-02,completed,EUR
16,4170,2025-04-17,completed,EUR
17,7317,2025-03-20,completed,EUR
18,5293,2025-09-03,completed,EUR
19,3976,2025-03-25,completed,EUR
20,468,2024-08-08,completed,EUR
21,3193,2025-07-02,completed,EUR
22,2682,2024-07-16,completed,EUR
23,1007,2024-10-18,completed,EUR
24,1449,2025-01-11,completed,EUR
25,5191,2024-10-15,completed,EUR
26,1628,2024-08-31,completed,EUR
27,5251,2024-02-20,completed,EUR
28,9849,2025-08-20,completed,EUR
29,8490,2024-11-06,completed,EUR
30,7278,2024-05-09,completed,EUR
31,3469,2024-04-26,completed,EUR
32,6326,2024-03-15,completed,EUR
33,1190,2025-05-25,completed,EUR
34,8897,2024-05-08,completed,EUR
35,9755,2024-09-28,completed,EUR
36,3900,2025-10-29,completed,EUR
37,808,2024-08-01,completed,EUR
38,7053,2024-05-09,completed,EUR
39,8427,2024-12-16,refunded,EUR
40,6335,2024-12-13,completed,EUR
41,7903,2026-01-01,completed,EUR
42,9689,2025-09-27,completed,EUR
43,9660,2025-11-02,completed,EUR
44,854,2024-08-15,completed,EUR
45,1745,2024-12-02,refunded,EUR
46,6956,2024-05-03,completed,EUR
47,730,2024-05-13,completed,EUR
48,5120,2024-03-28,completed,EUR
49,1537,2025-09-03,completed,EUR
50,7672,2024-09-10,completed,EUR
51,7762,2025-07-13,completed,EUR
52,987,2024-07-28,completed,EUR
53,7565,2024-07-22,completed,EUR
54,53,2024-04-17,completed,EUR
55,5236,2024-06-04,completed,EUR
56,385,2025-09-09,cancelled,EUR
57,2473,2025-12-31,completed,EUR
58,5062,2024-09-04,completed,EUR
59,6193,2025-10-11,completed,EUR
60,3644,2024-05-29,completed,EUR
61,6752,2024-12-13,completed,EUR
62,3582,2025-12-29,completed,EUR
63,9300,2024-11-04,completed,EUR
64,531,2025-02-10,completed,EUR
65,1975,2025-06-06,completed,EUR
66,5555,2025-12-14,completed,EUR
67,8258,2024-11-29,completed,EUR
68,9822,2025-08-17,completed,EUR
69,5755,2024-12-05,cancelled,EUR
70,7490,2024-09-28,cancelled,EUR
71,1100,2025-08-31,refunded,EUR
72,487,2025-04-30,completed,EUR
73,5532,2026-01-11,completed,EUR
74,8683,2024-09-11,refunded,EUR
75,6771,2024-07-15,completed,EUR
76,7468,2025-07-10,completed,EUR
77,2024,2024-05-21,completed,EUR
78,6154,2024-04-14,completed,EUR
79,5230,2025-11-10,completed,EUR
80,338,2024-02-06,completed,EUR
81,7191,2025-04-03,cancelled,EUR
82,900,2024-09-21,completed,EUR
83,7130,2025-01-30,completed,EUR
84,5996,2025-01-13,completed,EUR
85,3575,2024-09-27,completed,EUR
86,5568,2025-03-08,completed,EUR
87,5546,2025-06-18,completed,EUR
88,6354,2025-04-01,completed,EUR
