payment_id,order_id,payment_method,payment_status,payment_date,amount
1,1,paypal,success,2025-01-29,880.43
2,2,credit_card,success,2024-12-09,224.37
3,3,credit_card,success,2025-11-20,249.21
4,4,bank_transfer,success,2024-10-08,266.78
5,5,credit_card,success,2025-12-14,355.09
6,6,credit_card,success,2024-11-22,71.55
7,7,credit_card,failed,2024-12-31,866.69
8,8,credit_card,failed,2024-11-22,235.11
9,9,bank_transfer,success,2024-06-23,605.15
10,10,credit_card,success,2025-09-24,677.81
11,11,credit_card,success,2025-10-12,354.0
12,12,credit_card,failed,2025-04-06,506.54
13,13,paypal,success,2024-04-11,23.48
14,14,bank_transfer,failed,2024-06-24,250.74
15,15,paypal,success,2025-11-02,460.49
16,16,paypal,success,2025-08-19,735.64
17,17,credit_card,success,2025-09-29,926.58
18,18,paypal,success,2024-10-29,483.0
19,19,paypal,success,2024-05-14,663.92
20,20,credit_card,success,2025-06-19,964.68
21,21,paypal,success,2024-07-19,873.4
22,22,credit_card,success,2024-04-11,687.22
23,23,bank_transfer,failed,2024-09-10,920.08
24,24,bank_transfer,success,2025-06-24,528.36
25,25,credit_card,success,2024-11-10,738.06
26,26,credit_card,success,2024-11-19,465.99
27,27,paypal,success,2024-07-01,144.18
28,28,credit_card,success,2024-11-26,694.75
29,29,paypal,success,2024-12-12,369.03
30,30,credit_card,success,2026-01-31,853.06
31,31,bank_transfer,failed,2025-06-07,248.79
32,32,bank_transfer,success,2025-06-05,496.67
33,33,bank_transfer,success,2025-11-29,479.07
34,34,paypal,success,2024-11-22,165.73
35,35,bank_transfer,success,2024-05-06,29.3
36,36,bank_transfer,success,2025-07-24,710.9
37,37,credit_card,success,2025-04-26,362.99
38,38,credit_card,success,2025-10-12,974.71
39,39,credit_card,success,2025-07-11,869.88
40,40,credit_card,success,2025-01-17,811.82
41,41,bank_transfer,success,2025-05-31,417.86
42,42,paypal,success,2024-06-06,876.63
43,43,bank_transfer,success,2025-08-03,736.49
44,44,paypal,success,2025-04-30,897.13
45,45,credit_card,success,2025-01-11,825.02
46,46,paypal,success,2024-05-31,477.41
47,47,credit_card,success,2024-11-01,742.06
48,48,credit_card,success,2024-04-04,326.98
49,49,credit_card,success,2024-07-17,26.48
50,50,credit_card,success,2024-04-25,526.03
51,51,paypal,success,2025-07-22,291.01
52,52,bank_transfer,success,2024-07-19,590.6
53,53,bank_transfer,success,2024-06-02,597.28
54,54,credit_card,success,2024-05-11,814.46
55,55,credit_card,success,2024-12-26,252.04
56,56,paypal,success,2025-06-13,829.76
57,57,bank_transfer,success,2024-09-04,927.16
58,58,paypal,success,2025-10-30,442.39
59,59,bank_transfer,success,2024-08-07,254.32
60,60,paypal,success,2025-10-19,63.07
61,61,paypal,success,2025-04-03,305.65
62,62,credit_card,success,2024-02-18,333.32
63,63,bank_transfer,success,2024-05-24,230.85
64,64,credit_card,success,2025-11-28,523.95
65,65,bank_transfer,success,2024-02-16,31.05
66,66,bank_transfer,success,2025-06-30,237.7
67,67,credit_card,success,2024-03-26,628.02
68,68,paypal,success,2025-04-16,468.85
69,69,paypal,success,2025-02-19,260.15
70,70,paypal,success,2025-08-21,989.28
71,71,paypal,failed,2025-03-01,89.79
72,72,credit_card,success,2025-03-30,108.47
73,73,credit_card,success,2025-06-10,371.69
74,74,paypal,success,2025-03-21,889.51
75,75,paypal,success,2025-04-22,147.83
76,76,bank_transfer,success,2025-07-28,46.91
77,77,credit_card,success,2025-10-15,950.68
78,78,credit_card,success,2025-03-28,211.22
79,79,credit_card,failed,2025-04-23,180.69
80,80,paypal,success,2024-10-21,123.36
81,81,paypal,success,2024-12-06,878.79
82,82,credit_card,success,2024-04-01,562.06
83,83,credit_card,success,2024-03-13,58.81
84,84,credit_card,success,2024-06-03,732.46
85,85,credit_card,success,2024-09-23,302.18
86,86,bank_transfer,success,2024-11-20,15.98
87,87,credit_card,success,2025-07-14,383.53
88,88,paypal,success,2024-11-25,286.55
89,89,credit_card,success,2026-01-17,996.11
90,90,bank_transfer,success,2024-03-20,373.22
91,91,credit_card,failed,2025-12-20,521.56
92,92,credit_card,success,2025-02-22,946.31
93,93,paypal,failed,2025-12-22,855.56
94,94,credit_card,success,2025-02-28,997.39
95,95,credit_card,success,2025-04-27,450.4
96,96,bank_transfer,success,2024-08-21,988.55
97,97,bank_transfer,success,2024-05-19,675.9
98,98,credit_card,success,2024-08-02,271.39
99,99,bank_transfer,success,2026-02-01,352.62
100,100,paypal,success,2025-02-21,755.42
101,101,bank_transfer,success,2025-04-06,430.33
102,102,paypal,success,2025-03-07,812.63
103,103,bank_transfer,success,2025-09-16,743.45
104,104,bank_transfer,success,2025-06-08,550.1
105,105,paypal,success,2024-09-01,700.6
106,106,bank_transfer,success,2024-04-11,700.17
107,107,paypal,success,2025-07-05,144.82
108,108,bank_transfer,success,2025-09-16,885.48
109,109,credit_card,success,2024-05-02,645.63
110,110,bank_transfer,success,2025-04-03,109.68
111,111,bank_transfer,success,2024-06-28,61.72
112,112,credit_card,success,2025-12-02,898.68
113,113,paypal,success,2025-06-03,341.05
114,114,bank_transfer,success,2024-07-25,195.1
115,115,credit_card,success,2025-05-02,402.75
116,116,paypal,success,2024-05-28,395.28
117,117,paypal,success,2024-12-10,535.69
